ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
95,/art/95.jpg,Horizontal,380,530,26/07/2025,Sandy Toes,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
96,/art/96.jpg,Horizontal,380,530,27/07/2025,Cluny Court II,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
97,/art/97.jpg,Horizontal,380,530,02/08/2025,Indian Morning Tea,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
98,/art/98.jpg,Horizontal,380,530,02/08/2025,Sam Leong Shophouses,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
99,/art/99.jpg,Horizontal,380,530,09/08/2025,Majulah,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
100,/art/100.jpg,Horizontal,380,530,09/08/2025,Singapura,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
101,/art/101.jpg,Vertical,530,380,22/08/2025,By the Candlelight,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
102,/art/102.jpg,Horizontal,380,530,23/08/2025,Thong Teck Sian,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
103,/art/103.jpg,Horizontal,380,530,30/08/2025,St James Power Station,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
104,/art/104.jpg,Horizontal,380,530,30/08/2025,Fields of Padang,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
105,/art/105.jpg,Horizontal,380,530,05/09/2025,Dusk at Nanyang Heights,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
106,/art/106.jpg,Vertical,530,380,06/09/2025,Nanyang Falls,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
